,Func_ES_groupping  = ESs grouped according to size of impariment in adults as follows,,,,,,,,,,,,,PKU GROUP,,,,,,CONTROL GROUP,,,,ES,,,,,,,PKU group ,,,CONTROLS,,,,,,
502,Adults,Visuo motor control,Visuo motor control,ES_large,Pietz et al 1998,1998,Slow Video Tracking-Level dist,,,Slow Video Tracking task level distance,,,,17.2,6.7,57,1085,,,13.1,3.5,40,,-0.77,,1,-1.16,,1,,,,,,,4,Within 3 months,-,Within 3 months,
503,Adults,Visuo motor control,Visuo motor control,ES_large,Pietz et al 1998,1998,Slow Video Tracking-Stability dist,,,Slow Video Tracking task stability distance,,,,6.5,3,57,1085,,,4.9,3.6,40,,-0.48,,1,-0.44,,1,,,,,,,4,Within 3 months,-,Within 3 months,
504,Adults,Visuo motor control,Visuo motor control,ES_large,Palermo et al 2017/2018,2017,Grooved pegboard-Time ,,,Grooved pegboard - Time (sec.),,,,65.1,11.7,37,720,,,59.2,5.1,30,,-0.65,,1,-1.14,,1,,,,,,,1,Since birth,cont treat,Soon after birth,
505,Adults,Visuo motor control,Visuo motor control,ES_large,Romani et al 2020,2020,Grooved pegboard-Time ,,,Grooved pegboard - Time (sec.),,,,76.7,11,19,1042,,,70.6,9,19,,-0.61,,1,-0.66,,1,,,,,,,,,,,
506,Children,Visuo motor control,Visuo motor control,ES_large,Griffiths 1995,1995,Peg transfer-Purdue Pegboard,speed,,Grooved pegboard - Time (sec.),Purdue Pegboard (Lafayette Instruments) without collars and washers. Total time for transferring 25 pegs from left to right column of holes and back again. Preferred hand; seconnds??,,,88.5,19.56,10,348,,,72.7,12.8,10,,,,1,-1.18,,1,,7.53,-,,7.59,-,,median age 15 days (range 12-20),,,
507,Mixed-age,Visuo motor control,Visuo motor control,ES_large,Griffiths 1995,1995,Peg transfer-Purdue Pegboard,speed,,Grooved pegboard - Time (sec.),Purdue Pegboard (Lafayette Instruments) without collars and washers. Total time for transferring 25 pegs from left to right column of holes and back again. Preferred hand; seconnds??,,,51.5,5.42,10,1014,216,,46.9,4.75,10,,,,-1,0.93,,1,,20.6,3.8,13.6-28.42,,,,,,,
508,Adults,Visuo motor control,Visuo motor control,ES_large,Pietz et al 1998,1998,Long pins/ short pins pegboard-Time,,,MLS Long pins/ short pins pegboard -  Time (sec.),,,,452,72.24,57,1085,,,430,77.48,40,,-0.29,,1,-0.28,,1,,,,,,,4,Within 3 months,-,Within 3 months,
509,Adults,Visuo motor control,Visuo motor control,ES_large,Pietz et al 1998,1998,MLS line following-Duration ,,,MLS line following duration ,,,,14.4,11.8,57,1085,,,10.7,8.6,40,,-0.36,,1,-0.43,,1,,,,,,,4,Within 3 months,-,Within 3 months,
510,Adults,Visuo motor control,Visuo motor control,ES_large,Pietz et al 1998,1998,MLS line following-N err,,,MLS line following N Error,,,,19.6,10.9,57,1085,,,15.1,9.4,40,,-0.44,,1,-0.47,,1,,,,,,,4,Within 3 months,-,Within 3 months,
511,Adults,Visuo motor control,Visuo motor control,ES_large,Pietz et al 1998,1998,MLS rotor circle-Duration ,,,MLS rotor circle duration ,,,,101,52,57,1085,,,89,58,40,,-0.22,,1,-0.21,,1,,,,,,,4,Within 3 months,-,Within 3 months,
512,Adults,Visuo motor control,Visuo motor control,ES_large,Pietz et al 1998,1998,MLS rotor circle-N err,,,MLS rotor circle - N Error,,,,35,12,57,1085,,,33,12,40,,-0.17,,1,-0.17,,1,,,,,,,4,Within 3 months,-,Within 3 months,
513,Adults,Visuo motor control,Visuo motor control,ES_large,Pietz et al 1998,1998,MLS steadiness-Duration,,,MLS steadiness duration - Does not specify but assume seconds,,,,3,4.9,57,1085,,,1.7,3.5,40,,-0.31,,1,-0.37,,1,,,,,,,4,Within 3 months,-,Within 3 months,
514,Adults,Visuo motor control,Visuo motor control,ES_large,Pietz et al 1998,1998,MLS steadiness-N err,,,MLS steadiness N Error,,,,4.7,6,57,1085,,,3.1,4.7,40,,-0.3,,1,-0.34,,1,,,,,,,4,Within 3 months,-,Within 3 months,
515,Children,Visuo motor control,Visuo motor control,ES_large,Jahja et al 2014,2014,Motor control accuracy,,,deviation from target in mm- high  Phe group,,,,6.7,4.4,21,590,248,,4.5,1.3,73,,,,1,-1.68,,1,,10.6,2.5,,10.9,2.2,,,,,
516,Children,Visuo motor control,Visuo motor control,ES_large,Jahja et al 2014,2014,Motor control stability,,,sd of movement trajectory- high  Phe group,,,,5.3,4.3,21,590,248,,3.1,0.9,73,,,,1,-2.42,,1,,10.6,2.5,,10.9,2.2,,,,,
517,Mixed-age,Visuo motor control,Visuo motor control,ES_large,Luciana et al 2001,2001,Motor screening task,accuracy,accuracy,Errors,Error,"quickly and accurately touch visual targets that are
presented one at a time on the computer screen",,15.9,8.5,18,NA,NA,,14.1,3.9,16,,,,1,-0.45,,1,,17.88,2.74,,16.32,2.92,,,,,
518,Mixed-age,Visuo motor control,Visuo motor control,ES_large,Luciana et al 2001,2001,Motor screening task,speed,speed,Latency,latency ,,,812.3,184.1,18,NA,NA,,796.1,222.1,16,,,,1,-0.07,,1,,17.88,2.74,,16.32,2.92,,,,,
519,Adults,Visuo motor control,Visuo motor control,ES_large,Bartus et al 2018,2018,Motor screening test-Err score,,,Motor screening test (Error raw score),,,,10.1,2.14,46,595,,,8.5,1.91,31,,-0.77,,1,-0.81,,1,,,,,,,1,Since birth,cont treat,Soon after birth,
520,Adults,Visuo motor control,Visuo motor control,ES_large,Christ et al 2023,2023,Pegboard-Dominant Hand,,,T-score,higher=better,NIH Toolbox Motor Battery,,50,9.2,40,589,444,,51,9.6,32,NA,,,-1,-0.1,,1,,NA,,,,,,,,,
521,Adults,Visuo motor control,Visuo motor control,ES_large,Christ et al 2023,2023,Pegboard-Non-Dominant Hand,,,T-score,higher=better,NIH Toolbox Motor Battery,,47,10.8,40,589,444,,54,10.3,32,NA,,,-1,-0.67,,1,,NA,,,,,,,,,
522,Children,Visuo motor control,Visuo motor control,ES_large,Gassio et al 2005,2005,Purdue assembly,,,,,Purdue Pegboard Test,,42,9,26,489,181,,49,8,21,,,,-1,-0.86,,1,,12.3,3.7,,11.8,3.6,,,,,
523,Children,Visuo motor control,Visuo motor control,ES_large,Gassio et al 2005,2005,Tapping Dominant hand,,,,,Purdue Pegboard Test,,48,11,26,489,181,,51,10,21,,,,-1,-0.29,,1,,12.3,3.7,,11.8,3.6,,,,,
524,Children,Visuo motor control,Visuo motor control,ES_large,Gassio et al 2005,2005,Tapping Nondominant hand,,,,,Purdue Pegboard Test,,50,11,26,489,181,,52,10,21,,,,-1,-0.2,,1,,12.3,3.7,,11.8,3.6,,,,,
525,Adults,Visuo motor control,Visuo motor control,ES_large,Weglage et al 2013,2013,TMT-A,,,TMT (ZVT); only  T1,,,,93.2,63.6,57,810,,,77,19.7,46,,-0.34,,1,-0.82,,1,,,,,,,3,Within 10 weeks ,cont treat,Within 10 weeks ,
526,Adults,Visuo motor control,Visuo motor control,ES_large,Pilotto et al 2021,2021,TMT-A,,,,,,,29,13.62,19,890,,,20,5.5,25,,-0.87,,1,-1.61,,1,,,,,,,1,,cont treat,,
527,Children,Visuo motor control,Visuo motor control,ES_large,Bisiacchi et al 2018,2018,TMT-A,,,,,,,43.4,14.3,11,743,84,,49.9,14.4,28,,,,-1,-0.44,,1,,13,2.5,,11.8,2.5,,,,,
528,Mixed-age,Visuo motor control,Visuo motor control,ES_large,Van Zutphen et al 2007,2007,TMT-A,,,TMT Letter sequencing,,From D-KEFS,,7.6,4,15,660,337,,10,3,20,,,,-1,-0.78,,1,,14.8,3,,,,,,,,
529,Mixed-age,Visuo motor control,Visuo motor control,ES_large,Van Zutphen et al 2007,2007,TMT-A,,,TMT Number sequencing,,From D-KEFS,,8.6,3.76,15,660,337,,10,3,20,,,,-1,-0.46,,1,,14.8,3,,,,,,,,
530,Children,Visuo motor control,Visuo motor control,ES_large,Gassio et al 2005,2005,TMT-A,,,,,,,42,13,26,489,181,,57,10,21,,,,-1,-1.47,,1,,12.3,3.7,,11.8,3.6,,,,,
533,Adults,IQ,IQ,,Smith et al 1996-Low Phe,1996,WAIS-Full scale,,,WAIS - Full scale,,,,96,7.25,11,566,,,101,9.25,22,,0.6,,-1,-0.53,,1,,,,,,,--,--,-,--,
534,Adults,IQ,IQ,,Jahja et al 2016/2017,2017,WISC-III and WAIS III Vocabulary/Block Design,,,WISC-III and WAIS III Vocabulary and Block Design,,,,100,12,57,655,,,108,11,57,,0.69,,-1,-0.72,,1,,,,,,,1,Since birth,-,Soon after birth,
535,Adults,IQ,IQ,,Abgottspon et al 2022,2022,WAIS-IV short form ,,,"matrix, symbol search, vocabulary, arthmetic",,,,97,11.9,20,702,,,105.1,13.7,40,,0.63,,-1,-0.58,,1,,,,,,,1,,,,
536,Adults,IQ,IQ,,De Felice et al 2018,2018,WAIS-Full scale,,,WASI - Full scale,,,,103,13.9,38,751,,,113.9,9.7,39,,0.91,,-1,-1.11,,1,,,,,,,1,Since birth,cont treat,Soon after birth,
537,Adults,IQ,IQ,,Channon et al 2005,2005,WAIS-Full scale,,,WASI - Full scale - on diet,,,,107,12.01,25,759,,,107.3,10.35,25,,0.02,,-1,-0.02,,1,,,,,,,2,Within 1 month,cont treat,Within 1 month,
538,Adults,IQ,IQ,,Weglage et al 2013,2013,WAIS-Full scale,,,WAIS - Full scale baseline,,,,89.8,20.72,57,810,,,103.3,16.5,46,,0.72,,-1,-0.81,,1,,,,,,,3,Within 10 weeks ,-,Within 10 weeks ,
539,Adults,IQ,IQ,,Channon et al 2004,2004,WASI-Performance Index,,,WASI - Performance Index,,,,112.3,9.68,20,859,,,114.7,10.43,20,,0.23,,-1,-0.22,,1,,,,,,,2,Within 1 month,cont treat,Within 1 month,
540,Adults,IQ,IQ,,Channon et al 2004,2004,WASI-Verbal Index,,,WASI - Performance Index,,,,108.6,9.47,20,859,,,107.2,10.84,20,,-0.13,,-1,0.12,,1,,,,,,,2,Within 1 month,cont treat,Within 1 month,
541,Adults,IQ,IQ,,Burgard et al 1997-German,1997,WISC-R & WAIS-R,,,WISC-R & WAIS-R - German Group,,,,104.5,10.46,8,870,,,104.5,11.31,15,,0,,-1,0,,1,,,,,,,4,Within 3 months,5 years,Within 3 months,
542,Adults,IQ,IQ,,Romani et al 2020,2020,WAIS-Full scale,,,WAIS - Full scale,,,,98.9,15,19,1042,,,110.1,12,19,,0.82,,-1,-0.91,,1,,,,,,,1,Since birth,-,Soon after birth,
543,Adults,IQ,IQ,,Pietz et al 1998,1998,WAIS-Full scale,,,WAIS-R - Full scale,,,,97.6,15.7,57,1085,,,105.5,16.1,40,,0.5,,-1,-0.49,,1,,,,,,,4,Within 3 months,-,Within 3 months,
544,Adults,IQ,IQ,,Ullrich et al 1996,1996,WAIS-Full scale,,,WAIS - Full scale,,,,82,14,8,1253,,,92.2,8.5,8,,0.88,,-1,-1.13,,1,,,,,,,--,--,-,--,
545,Adults,IQ,IQ,,Channon et al 2007,2007,WAIS-Full scale,,,WASI - Full scale - off diet,,,,101.5,14.6,25,1286,,,107,8.9,45,,0.45,,-1,-0.61,,1,,,,,,,2,Within 1 month,cont treat,Within 1 month,
546,Adults,IQ,IQ,,Ris et al 1994,1994,WAIS-Full scale,,,WAIS-R - Full scale,,,,90,11,25,1332,,,100,9,15,,1,,-1,-1.09,,1,,,,,,,2,Within 1 month,cont treat,Within 1 month,
547,Adults,IQ,IQ,,Smith et al 1996-High Phe,1996,WAIS-Full scale,,,WAIS - Full scale,,,,95,7.25,11,1545,,,101,9.25,22,,0.72,,-1,-0.63,,1,,,,,,,--,--,-,--,
548,Adults,IQ,IQ,,Nardecchia et al 2015,2015,WAIS-Full scale,,,WAIS-R - Full scale,,,,97.6,10.75,14,-,,,114.1,8.91,14,,1.66,,-1,-1.79,,1,,,,,,,3,Witihn 2 months,cont treat,Witihn 2 months,
549,Adults,IQ,IQ,,Moyle et al 2007,2007,WAIS III-Perceptual Organisation Index ,,,WAIS III - Perceptual Organisation Index ,,,,101,19.7,12,-,,,115,14.2,12,,0.82,,-1,-0.95,,1,,,,,,,1,Since birth,off diet,Soon after birth,
550,Adults,IQ,IQ,,Moyle et al 2007,2007,WAIS III-Processing Speed Index ,,,WAIS III - Processing Speed Index ,,,,92,12.5,12,-,,,106,12.5,12,,1.12,,-1,-1.08,,1,,,,,,,1,Since birth,off diet,Soon after birth,
551,Adults,IQ,IQ,,Moyle et al 2007,2007,WAIS III-Working Memory Index ,,,WAIS III - Working Memory Index ,,,,103,19.7,12,-,,,101,12.5,12,,-0.12,,-1,0.15,,1,,,,,,,1,Since birth,off diet,Soon after birth,
552,Adults,IQ,IQ,,St James et al 1993,1993,WASI,,,WASI - Performance Index,,,,85.7,16,70,not reported,,,95.2,14,68,,,,-1,-0.67,,1,,21,3.5,,21.2,3.7,,not reported,,,
555,Mixed-age,IQ,IQ,,Aldridge et al 2020,2020,WASI,,,WASI - Performance Index,,,,106.3,11.8,20,593,356,,113.9,13.4,20,,,,-1,-0.56,,1,,16,3.8,,16.2,3.8,,Since birth,-,Since birth,
556,Mixed-age,IQ,IQ,,Bodner et al 2012,2012,WASI,,,WASI - Performance Index,,,,99.3,11.3,13,780 ,,,110.1,9.4,13,,,,-1,-1.11,,1,,22.1,9.4,,22.7,8.9,,At birth,,,
557,Mixed-age,IQ,IQ,,Antenor-Dorsey 2013,2013,WASI,,,WASI - Performance Index,,,,99,13,32,734,410,,109,11,12,,,,-1,-0.89,,1,,18,9,,17.8,8,,Early treated,,,
558,Mixed-age,IQ,IQ,,Brunner and Berry 1987,1987,WISC/WAIS,NoSD,,FSIQ,,,,97,-,21,1529,,,110.6,-,7,NA,,,-1,-,,0,,16.4,5.6,,13.4,3.9,,,,,
561,Children,IQ,IQ,,Weglage et al 1995,1995,Culture fair intelligence test,,,,,,,101.4,10,20,583,377,,104.7,9.5,20,20,,,-1,-0.34,,1,,10.9,1.3,,11,1.1,,,,,
562,Children,IQ,IQ,,Wiersema et al 2005,2005,WISC-III,,,,9.2,2,,99,8.1,9,297,165,,103,7.9,9,9,5,,-1,-0.48,,1,,9.2,2,,9.2,1.9,,early ,Continously,,
563,Children,IQ,IQ,,Anderson et al 2002/2007,2002,WISC-III,,,,,,,93.3,10.23,36,490,375,,102.9,11.77,69,,,,-1,-0.81,,1,,11.18,3.4,,10.29,3.1,,,,,
564,Children,IQ,IQ,,Antshel & Waisbren 2003,2003,WISC-III,,,,,,,104.2,10.7,46,490,375,,102.2,13.4,18,,-0.16,,-1,0.15,,1,,10.75,2.1,,13.1,3.2,,,,,
565,Children,IQ,IQ,,Banerjee et al 2011,2011,WASI,,,,,,,105.8,9.6,36,509,285,,108.5,10,41,,,,-1,-0.27,,1,,,,,,,,,,,
566,Children,IQ,IQ,,Janos et al 2012,2012,WASI ,,,,,,,106,10.9,42,546,331,,114.6,13.9,81,,,,-1,-0.61,,1,,11.8,3.5,,12.3,3.2,,,,,
567,Children,IQ,IQ,,Leuzzi et al 2004,2004,WISC-R,,,,,,,102.1,10.21,14,491,149,,108.8,12.7,14,,,,-1,-0.51,,1,,10.8,1.25,,10.9,1.3,,,,,
568,Children,IQ,IQ,,Smith et al 2000,2000,Full scale IQ ,,,Doesn’t say which measure,,,,101,10.4,19,777,200,,101,12,19,,,,-1,0,,1,,9.4,2.9,,9.3,2.9,,,,,
569,Children,IQ,IQ,,Stemerdink et al 1999,1999,WISC-R,,,,,,,98,13,36,455,250,,105,11,36,,,,-1,-0.63,,1,,13.3,3,,13.2,3,,,,,
570,Children,IQ,IQ,,White et al 2001,2001,Vocabulary ,,,Verbal,,,,106,19,23,496,230,,113,19,23,,,,-1,-0.36,,1,,10.7,3.4,,11.1,3.7,,,,,
571,Children,IQ,IQ,,White et al 2001,2001,Matrix Reasoning,,,Non-verbal,,,,107,15,23,496,230,,114,16,23,,,,-1,-0.43,,1,,10.7,3.4,,11.1,3.7,,,,,
572,Children,IQ,IQ,,Christ et al 2006,2006,WASI,,,,,,,102.2,9.9,26,424,339,,107.7,10.6,25,,,,-1,-0.51,,1,,11.2,3.1,,11.3,3.4,,,,,
573,Children,IQ,IQ,,Gassio et al 2005,2005,WISC-R/Kauffman Assessment Battery,,,,,,,102,9,26,489,181,,112,8,21,,,,-1,-1.23,,1,,12.3,3.7,,11.8,3.6,,,,,
574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
575,Adults,Social Cognition,Social Cognition,,Palermo et al 2017/2020,2020,3 Face Test-Accuracy-N correct,accuracy,accuracy,3 Face Test - Accuracy - N correct,,,,23.1,2.9,20,670,,,22.6,4.8,25,,-0.13,,-1,0.1,,1,,,,,,,2,Within 1 month,cont treat,Within 1 month,
576,Adults,Social Cognition,Social Cognition,,Palermo et al 2017/2020,2020,3 Face Test-Time ,speed,speed,3 Face Test - Time (sec.),,,,5.5,2,20,670,,,4.5,1.9,25,,-0.51,,1,-0.52,,1,,,,,,,2,Within 1 month,cont treat,Within 1 month,
577,Adults,Social Cognition,Social Cognition,,Palermo et al 2017/2020,2020,Affect Selection-N correct,accuracy,accuracy,Affect Selection - N correct,,,,18.5,2,20,670,,,18.2,2,25,,-0.15,,-1,0.15,,1,,,,,,,2,Within 1 month,cont treat,Within 1 month,
578,Adults,Social Cognition,Social Cognition,,Palermo et al 2017/2020,2020,Affect Selection-Time ,speed,speed,Affect Selection - Time (sec.),,,,5.6,1.2,20,670,,,4.7,1.3,25,,-0.72,,1,-0.68,,1,,,,,,,2,Within 1 month,cont treat,Within 1 month,
579,Adults,Social Cognition,Social Cognition,,Jahja et al 2016/2017,2016,ANT Facial Recognition-% err,,,ANT Facial Recognition  - % Errors,,,,7.1,3.5,56,657,,,5.6,3.4,53,,-0.43,,1,-0.44,,1,,,,,,,1,Since birth,-,Soon after birth,
580,Adults,Social Cognition,Social Cognition,,Jahja et al 2016/2017,2016,ANT Facial Recognition-RT,,,ANT Facial Recognition - RT,,,,1197,272,56,657,,,1133,221,53,,-0.26,,1,-0.29,,1,,,,,,,1,Since birth,-,Soon after birth,
581,Adults,Social Cognition,Social Cognition,,Jahja et al 2016/2017,2016,ANT identification of facial emotions-% err,accuracy,accuracy,ANT identification of facial emotions - % Errors,,,,5.7,3.1,56,657,,,4.6,2.5,53,,-0.39,,1,-0.44,,1,,,,,,,1,Since birth,-,Soon after birth,
582,Adults,Social Cognition,Social Cognition,,Jahja et al 2016/2017,2016,ANT identification of facial emotions-RT,speed,speed,ANT identification of facial emotions - RT,,,,874,182,56,657,,,796,157,53,,-0.46,,1,-0.49,,1,,,,,,,1,Since birth,-,Soon after birth,
583,Adults,Social Cognition,Social Cognition,,Smith et al 1996-High Phe,1996,Face closure,,,number correct,,,,24.5,4.14,11,1545,,,28,4.47,22,,0.8,,-1,-0.75,,1,,,,,,,--,--,-,--,
584,Adults,Social Cognition,Social Cognition,,Smith et al 1996-Low Phe,1996,Face closure,,,number correct,,,,24.8,4.47,11,566,,,28,4.47,22,,0.7,,-1,-0.69,,1,,,,,,,--,--,-,--,
585,Adults,Social Cognition,Social Cognition,,Smith et al 1996-High Phe,1996,Face memory,,,standard score,,,,9.6,2.07,11,1545,,,11.9,2.75,22,,0.93,,-1,-0.8,,1,,,,,,,--,--,-,--,
586,Adults,Social Cognition,Social Cognition,,Smith et al 1996-Low Phe,1996,Face memory,,,standard score,,,,10.4,3.59,11,566,,,11.9,2.75,22,,0.46,,-1,-0.52,,1,,,,,,,--,--,-,--,
587,Adults,Social Cognition,Social Cognition,,Jahja et al 2016/2017,2016,Faux-pas Recogntion Test-Score,,,Faux - pas Recogntion Test Score - High score indicate better ability ,,,,49.2,5.1,56,657,,,51.3,4.6,53,,0.43,,-1,-0.45,,1,,,,,,,1,Since birth,-,Soon after birth,
588,Adults,Social Cognition,Social Cognition,,Palermo et al 2017/2020,2020,Identity Test-Time ,speed,speed,"Identity Test  - Time (sec,)",,,,2.8,1.1,20,670,,,2.2,0.7,25,,-0.65,,1,-0.84,,1,,,,,,,2,Within 1 month,cont treat,Within 1 month,
589,Adults,Social Cognition,Social Cognition,,Palermo et al 2017/2020,2020,Identity Test Accuracy-N correct,accuracy,accuracy,Identity Test Accuracy - N correct,,,,21.5,0.7,20,670,,,21.4,1,25,,-0.12,,-1,0.1,,1,,,,,,,2,Within 1 month,cont treat,Within 1 month,
590,Adults,Social Cognition,Social Cognition,,Jahja et al 2016/2017,2016,Reading the mind in the eyes-Score,,,Reading the mind in the eyes (RME) - high score indicate better ability to recognise emotions . (ToM),,,,24.4,3.9,56,657,,,26.1,3.6,53,,0.45,,-1,-0.47,,1,,,,,,,1,Since birth,-,Soon after birth,
592,,excluded,excluded,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
593,Children,IQ,IQ,,Soleymani 2015,2015,WPPSI,,,some late treated,,,,83.4,8.53,8,NA,NA,,99.6,6.35,42,,,,-1,-2.51,,0,,4.26,0.67,,4.97,0.9,At diagnosis (diganosed at newborn screening),,,,
594,Children,IQ,IQ,,Feldmann 2019,2019,WISC & WAIS,,,Mild pku as controls,,include? Mild pku as controls,,95.2,12.3,28,528,312,,92.7,13.9,21,NA,,,-1,0.18,0.17,0,,NA,,,,,,,,,
595,Children,IQ,IQ,,Weglage 2000,2000,CFT-20,,,DIABETIC CONTROLS,,,,100,14,42,894,360,,104,12,42,NA,,,-1,-0.33,-0.33,0,,NA,,,,,,,,,
596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
597,Children,EF-Flexibility,EF-Flexibility,,Duarte et al 2023,2023,Semantic fluency,,,Animals,number in 60 sec,The developmental neuropsychological battery (NEPSY-II); subtests of the Attention and executive functions domains,Duarte not included because group includes PKU patients with lower Phe around 900 rather than > 1200,14.4,3.14,27,,,,14.7,3.14,28,,,,-1,,,0,,11.1,2.98,,9.82,2.13,,,,,
598,Children,EF-Flexibility,EF-Flexibility,,Duarte et al 2023,2023,Semantic fluency,,,Animals,number in 60 sec,The developmental neuropsychological battery (NEPSY-II); subtests of the Attention and executive functions domains,Duarte not included because group includes PKU patients with lower Phe around 900 rather than > 1200,14.4,3.14,27,,,,14.7,3.14,28,28,,,-1,-0.09,,0,,11.1,2.98,,9.82,2.13,,,,,
599,Children,EF-Flexibility,EF-Flexibility,,Duarte et al 2023,2023,Phonemic fluency,,,total in 60 sec,"letters: R,A,S",The developmental neuropsychological battery (NEPSY-II); subtests of the Attention and executive functions domains,Duarte not included because group includes PKU patients with lower Phe around 900 rather than > 1200,21.7,10.7,27,,,,24.2,8.46,28,,,,-1,-0.29,-0.31,0,,11.1,2.98,,9.82,2.13,,,,,
600,Children,EF-Reasoning and planning,EF-Reasoning and planning,,Duarte et al 2023,2023,Animal sorting,,,Raw scores,"This subtest is designed to assess the ability to formulate basic concepts, to transfer those concepts into action (sort into categories), and to shift set from one concept to another. The child sorts cards into two groups of four cards each using various self-initiated sorting criteria.",The developmental neuropsychological battery (NEPSY-II); subtests of the Attention and executive functions domains,Duarte not included because group includes PKU patients with lower Phe around 900 rather than > 1200,4.1,1.8,27,,,,4.1,1.88,28,28,,,-1,0.02,,0,,11.1,2.98,,9.82,2.13,,,,,
601,Children,Verbal STM/WM,Verbal STM/WM,,Duarte et al 2023,2023,Digit span,,,score,max 8,The developmental neuropsychological battery (NEPSY-II); subtests of the Attention and executive functions domains,Duarte not included because group includes PKU patients with lower Phe around 900 rather than > 1200,3.5,0.8,27,,,,3.8,1.23,28,NA,,,-1,-0.25,,0,,11.1,2.98,,9.82,2.13,,,,,
602,Children,EF-Inhibitory control,EF-Inhibitory control,,Duarte et al 2023,2023,IN-I (Inhibition),,,Inhibition,"can't figure out measure?? But low scores indicate ""poor sustained attention, inhibition, or working memory"" from NEPSY-II: A Developmental Neuropsychological Assessment, Second Edition",The developmental neuropsychological battery (NEPSY-II); subtests of the Attention and executive functions domains,Duarte not included because group includes PKU patients with lower Phe around 900 rather than > 1200,1,0.298,27,,,,1,0.47,28,NA,,,-1,0,,0,,11.1,2.98,,9.82,2.13,,,,,
603,Children,EF-Inhibitory control,EF-Inhibitory control,,Duarte et al 2023,2023,IN-N (Naming),,,Naming,"can't figure out measure?? But low scores indicate ""poor sustained attention, inhibition, or working memory"" from NEPSY-II: A Developmental Neuropsychological Assessment, Second Edition",The developmental neuropsychological battery (NEPSY-II); subtests of the Attention and executive functions domains,Glass delta looks odd; Duarte not included because group includes PKU patients with lower Phe around 900 rather than > 1200,2.4,4.88,27,,,,1,0.19,28,NA,,,-1,7.26,,0,,11.1,2.98,,9.82,2.13,,,,,
604,Children,EF-Inhibitory control,EF-Inhibitory control,,Duarte et al 2023,2023,IN-S (Switching),,,Switching,"can't figure out measure?? But low scores indicate ""poor sustained attention, inhibition, or working memory"" from NEPSY-II: A Developmental Neuropsychological Assessment, Second Edition",The developmental neuropsychological battery (NEPSY-II); subtests of the Attention and executive functions domains,Duarte not included because group includes PKU patients with lower Phe around 900 rather than > 1200,0.6,0.186,27,,,,0.7,0.19,28,NA,,,-1,-0.21,,0,,11.1,2.98,,9.82,2.13,,,,,
605,Children,Visual STM/WM,Visual STM/WM,,Duarte et al 2023,2023,Corsi Block task ,,,The developmental neuropsychological battery (NEPSY-II); subtests of the Attention and executive functions domains,max 7,,Duarte not included because group includes PKU patients with lower Phe around 900 rather than > 1200,6.1,2.55,27,,,,6.1,1.96,28,NA,,,-1,-0.02,,0,,11.1,2.98,,9.82,2.13,,,,,
606,Children,EF-Sustained attention,EF-Sustained attention,,Duarte et al 2023,2023,Response set (auditory control and vigilence),,,raw scores,,The developmental neuropsychological battery (NEPSY-II); subtests of the Attention and executive functions domains,Duarte not included because group includes PKU patients with lower Phe around 900 rather than > 1200,31.3,6.02,27,,,,34.1,3.56,28,,,,-1,-0.76,-0.78,0,,11.1,2.98,,9.82,2.13,,,,,
607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
608,Adults,Visuo-spatial attention acc,Visuo-spatial attention acc,ES_small,Manti et al 2023,2023,Choice detection-acc,accuracy,accuracy,Accuracy (max=64),,,,60.7,6.9,7,1311,278,At T0 (before resume strict diet),64,0,7,NA,,,-1,--,,0,,NA,,,,,,,,,
609,Adults,EF-Flexibility,EF-Flexibility,,Manti et al 2023,2023,Digit/symbol coding,,,Raw scores,,,,51.4,9.6,7,1311,278,At T0 (before resume strict diet),69,2.31,7,7,,,-1,-7.13,,0,,NA,,,,The participant is given 120 s to fill as many boxes as possible with a symbol corresponding to a number according to a key.,,,,,
610,Adults,EF-Flexibility,EF-Flexibility,,Manti et al 2023,2023,Phonemic fluency,,,Letter fluency - N correct,,,difference looks very large - but this is what is reported,24.6,12.8,7,1311,278,At T0 (before resume strict diet),54.3,8.9,7,7,,,-1,-2.69,,0,,NA,,,,Participants are asked to orally produce as many words as possible beginning with a specific letter. The test consists of three trials of 1 min each.,,,,,
611,Adults,EF-Flexibility,EF-Flexibility,,Manti et al 2023,2023,Semantic fluency ,,,Semantic fluency - N correct,ANIMALS,,,42.6,16.1,7,1311,278,At T0 (before resume strict diet),51.4,6.8,7,NA,,,-1,-1.21,,0,,NA,,,,"articipants are asked to generate as many words as possible from a given semantic category (e.g., ‚Äúanimals‚Äù) within a limited time, usually 1 min. This requires planning an efficient search through the lexicon.",,,,,
612,Adults,EF-Inhibitory control,EF-Inhibitory control,,Manti et al 2023,2023,Hayling sentence completion,,,Accuracy (max=10),,,,8.9,2,7,1311,278,At T0 (before resume strict diet),10,1.8,7,SD from De Felice et al 2018,,,-1,-0.57,,0,,11.18,3.4,,10.29,3.1,,,,,
